Item;TechBase;Type;Ammo;Heat;Damage Value;Minimum Range;Short Range;Medium Range;Long Range;Tons;Critical Slots;Shots Per Ton;Page Ref
Ultra AC/10;IS;DB,R;;4/Sht;10/Sht,R2;0;1–6;7–12;13–18;13;7;10;99
Ultra AC/20;IS;DB,R;;8/Sht;20/Sht,R2;0;1–3;4–7;8–10;15;10;5;99
Blazer Cannon;IS;DE;;16;12;0;1–5;6–10;11–15;9;4;—;100
Flamer;IS;AI,DE,H;;3;2**;0;1;2;3;1;1;—;99
ER Flamer;IS;AI,DE,H;;4;2**;0;1–3;4–5;6–7;1;1;—;99
Heavy Flamer;IS;AI,DE,H;;5;4**;0;1–2;3;4;1.5;1;10;99
Small Laser;IS;DE;;1;3;0;1;2;3;0.5;1;—;100
Medium Laser;IS;DE;;3;5;0;1–3;4–6;7–9;1;1;—;100
Large Laser;IS;DE;;8;8;0;1–5;6–10;11–15;5;2;—;100
ER Small Laser;IS;DE;;2;3;0;1–2;3–4;5;0.5;1;—;101
ER Medium Laser;IS;DE;;5;5;0;1–4;5–8;9–12;1;1;—;101
ER Large Laser;IS;DE;;12;8;0;1–7;8–14;15–19;5;2;—;101
Plasma Rifle;IS;DE,H;;10;10**;0;1–5;6–10;11–15;6;2;10;106
Light PPC;IS;DE;;5;5;3;1–6;7–12;13–18;3;2;—;105
PPC;IS;DE;;10;10;3;1–6;7–12;13–18;7;3;—;105
Heavy PPC;IS;DE;;15;15;3;1–6;7–12;13–18;10;4;—;105
ER PPC;IS;DE;;15;10;0;1–7;8–14;15–23;7;3;—;105
Snub-Nose PPC;IS;DE,V;;10;10/8/5;0;1–9;10–13;14–15;6;2;—;105
Small Pulse Laser;IS;AI,P;;2;3;0;1;2;3;1;1;—;101
Medium Pulse Laser;IS;P;;4;6;0;1–2;3–4;5–6;2;1;—;101
Large Pulse Laser;IS;P;;10;9;0;1–3;4–7;8–10;7;2;—;101
Small X-Pulse Laser;IS;AI,P;;3;3;0;1–2;3–4;5;1;1;—;101
Medium X-Pulse Laser;IS;P;;6;6;0;1–3;4–6;7–9;2;1;—;101
Large X-Pulse Laser;IS;P;;14;9;0;1–5;6–10;11–15;7;2;—;101
Small RE Laser;IS;P;;4;4;0;1;2;3;1.5;1;—;101
Medium RE Laser;IS;P;;6;6;0;1–3;4–6;7–9;2.5;2;—;101
Large RE Laser;IS;P;;9;9;0;1–5;6–10;11–15;8;5;—;101
Small VSP Laser;IS;AI,P,V;;3;5/4/3;0;1–2;3–4;5–6;2;1;—;101
Medium VSP Laser;IS;AI,P,V;;7;9/7/5;0;1–2;3–5;6–9;4;2;—;101
Large VSP Laser;IS;AI,P,V;;10;11/9/7;0;1–4;5–8;9–15;9;4;—;101
LRM 5;IS;C, M, S;;2;1/Msl, C5/5;6;1–7;8–14;15–21;2;1;24;103
LRM 10;IS;C, M, S;;4;1/Msl, C5/10;6;1–7;8–14;15–21;5;2;12;103
LRM 15;IS;C, M, S;;5;1/Msl, C5/15;6;1–7;8–14;15–21;7;3;8;103
LRM 20;IS;C, M, S;;6;1/Msl, C5/20;6;1–7;8–14;15–21;10;5;6;103
Enhanced LRM 5;IS;C, M, S;;2;1/Msl, C5/5;3;1–7;8–14;15–21;3;2;24;102
Enhanced LRM 10;IS;C, M, S;;4;1/Msl, C5/10;3;1–7;8–14;15–21;6;4;12;102
Enhanced LRM 15;IS;C, M, S;;5;1/Msl, C5/15;3;1–7;8–14;15–21;9;6;8;102
Enhanced LRM 20;IS;C, M, S;;6;1/Msl, C5/20;3;1–7;8–14;15–21;12;9;6;102
Extended LRM 5;IS;C, M;;3;1/Msl, C5/5;10;1–12;13–22;23–38;6;1;18;103
Extended LRM 10;IS;C, M;;6;1/Msl, C5/10;10;1–12;13–22;23–38;8;4;9;103
Extended LRM 15;IS;C, M;;8;1/Msl, C5/15;10;1–12;13–22;23–38;12;6;6;103
Extended LRM 20;IS;C, M;;10;1/Msl, C5/20;10;1–12;13–22;23–38;18;8;4;103
MML 3;IS;C, M, S;LRM;2;1/Msl, C3/3;6;1–7;8–14;15–21;1.5;2;40;103
MML 3;IS;C, M, S;SRM;2;2/Msl, C2/3;0;1–3;4–6;7–9;1.5;2;33;103
MML 5;IS;C, M, S;LRM;3;1/Msl, C5/5;6;1–7;8–14;15–21;3;3;24;103
MML 5;IS;C, M, S;SRM;3;2/Msl, C2/5;0;1–3;4–6;7–9;3;3;20;103
MML 7;IS;C, M, S;LRM;4;1/Msl, C5/7;6;1–7;8–14;15–21;4.5;4;17;103
MML 7;IS;C, M, S;SRM;4;2/Msl, C2/7;0;1–3;4–6;7–9;4.5;4;14;103
MML 9;IS;C, M, S;LRM;5;1/Msl, C5/9;6;1–7;8–14;15–21;6;5;13;103
MML 9;IS;C, M, S;SRM;5;2/Msl, C2/9;0;1–3;4–6;7–9;6;5;11;103
MRM 10;IS;C, M;;4;1/Msl, C5/10;0;1–3;4–8;9–15;3;2;24;103
MRM 20;IS;C, M;;6;1/Msl, C5/20;0;1–3;4–8;9–15;7;3;12;103
MRM 30;IS;C, M;;10;1/Msl, C5/30;0;1–3;4–8;9–15;10;5;8;103
MRM 40;IS;C, M;;12;1/Msl, C5/40;0;1–3;4–8;9–15;12;7;6;103
Narc Missile Beacon;IS;M, S;;0;**;0;1–3;4–6;7–9;3;2;6;104
Improved Narc Launcher;IS;M, S;;0;**;0;1–4;5–9;10–15;5;3;4;104
Rocket Launcher 10;IS;C, M, OS;;3;1/Msl, C5/10;0;1–5;6–11;12–18;0.5;1;OS;103
Rocket Launcher 15;IS;C, M, OS;;4;1/Msl, C5/15;0;1–4;5–9;10–15;1;2;OS;103
Rocket Launcher 20;IS;C, M, OS;;5;1/Msl, C5/20;0;1–3;4–7;8–12;1.5;3;OS;103
SRM 2;IS;C,M,S;;2;2/Msl,C2/2;0;1–3;4–6;7–9;1;1;50;103
SRM 4;IS;C,M,S;;3;2/Msl,C2/4;0;1–3;4–6;7–9;2;1;25;103
SRM 6;IS;C,M,S;;4;2/Msl,C2/6;0;1–3;4–6;7–9;3;2;15;103
Streak SRM 2;IS;C,M;;2;2/Msl,C2/2;0;1–3;4–6;7–9;1.5;1;50;104
Streak SRM 4;IS;C,M;;3;2/Msl,C2/4;0;1–3;4–6;7–9;3;1;25;104
Streak SRM 6;IS;C,M;;4;2/Msl,C2/6;0;1–3;4–6;7–9;4.5;2;15;104
Thunderbolt 5;IS;M;;3;5;5;1–6;7–12;13–18;3;1;12;104
Thunderbolt 10;IS;M;;5;10;5;1–6;7–12;13–18;7;2;6;104
Thunderbolt 15;IS;M;;7;15;5;1–6;7–12;13–18;11;3;4;104
Thunderbolt 20;IS;M;;8;20;5;1–6;7–12;13–18;15;5;3;104
Arrow IV;IS;**;;10;20**;0;**;**;**;15;15;5;97
Vibroblade, Small;IS;—;;3;7**;—;—;—;—;3;1;—;109
Vibroblade, Medium;IS;—;;5;10**;—;—;—;—;5;2;—;109
Vibroblade, Large;IS;—;;7;14**;—;—;—;—;7;4;—;109
Active Probe, Beagle;IS;E;;0;—;—;—;—;4;1.5;1;—;110
Active Probe, Bloodhound;IS;E;;0;—;—;—;—;8;2;3;—;110
Anti-Missile System;IS;PB;;1;—;—;—;—;—;0.5;1;12;118
Laser AMS;IS;PB;;7;—;—;—;—;—;1.5;2;—;118
Angel ECM Suite;IS;E;;0;—;—;—;—;6;2;2;—;112
Guardian ECM Suite;IS;E;;0;—;—;—;—;6;1.5;2;—;112
M-Pod;IS;C,OS,V,X;;0;15/10/5,C1;0;1;2;3;1;1;OS;101
TAG;IS;E;;0;—;0;1–5;6–9;10–15;1;1;—;113
