Item;TechBase;Type;Ammo;Heat;Damage Value;Minimum Range;Short Range;Medium Range;Long Range;Tons;Critical Slots;Shots Per Ton;Page Ref
Medium Chem. Laser;Clan;DE;;2;5;0;1–3;4–6;7–9;1;1;30;100
Large Chem. Laser;Clan;DE;;6;8;0;1–5;6–10;11–15;5;2;10;100
Flamer;Clan;AI, DE, H;;3;2**;0;1;2;3;0.5;1;—;99
ER Flamer;Clan;AI, DE, H;;4;2**;0;1–3;4–5;6–7;1;1;—;99
Heavy Flamer;Clan;AI, DE, H;;5;4**;0;1–2;3;4;1.5;1;10;99
ER Micro Laser;Clan;DE;;1;2;0;1;2;3–4;0.25;1;—;101
ER Small Laser;Clan;DE;;2;5;0;1–2;3–4;5–6;0.5;1;—;101
ER Medium Laser;Clan;DE;;5;7;0;1–5;6–10;11–15;1;1;—;101
ER Large Laser;Clan;DE;;12;10;0;1–8;9–15;16–25;4;1;—;101
Heavy Small Laser;Clan;DE;;3;6;0;1;2;3;0.5;1;—;101
Heavy Medium Laser;Clan;DE;;7;10;0;1–3;4–6;7–9;1;2;—;101
Heavy Large Laser;Clan;DE;;18;16;0;1–5;6–10;11–15;4;3;—;101
Improved Heavy Small Laser;Clan;DE, X;;3;6;0;1;2;3;0.5;1;—;101
Improved Heavy Medium Laser;Clan;DE, X;;7;10;0;1–3;4–6;7–9;1;2;—;101
Improved Heavy Large Laser;Clan;DE, X;;18;16;0;1–5;6–10;11–15;4;3;—;101
Plasma Cannon;Clan;DE, H;;7;0**;0;1–6;7–12;13–18;3;1;10;106
ER PPC;Clan;DE;;15;15;0;1–7;8–14;15–23;6;2;—;105
Micro Pulse Laser;Clan;AI, P;;1;3;0;1;2;3;0.5;1;—;101
Small Pulse Laser;Clan;AI, P;;2;3;0;1–2;3–4;5–6;1;1;—;101
Medium Pulse Laser;Clan;P;;4;7;0;1–4;5–8;9–12;2;1;—;101
Large Pulse Laser;Clan;P;;10;10;0;1–6;7–14;15–20;6;2;—;101
ER Small Pulse Laser;Clan;AI, P;;3;5;0;1–2;3–4;5–6;1.5;1;—;101
ER Medium Pulse Laser;Clan;P;;6;7;0;1–5;6–9;10–14;2;2;—;101
ER Large Pulse Laser;Clan;P;;13;10;0;1–7;8–15;16–23;6;3;—;101
ATM 3;Clan;C, M, S;Standard;2;2/Msl, C5/3;4;1–5;6–10;11–15;1.5;2;20;102
ATM 3;Clan;C, M, S;ER;2;2/Msl, C5/3;4;1–9;10–18;19–27;1.5;2;20;102
ATM 3;Clan;C, M, S;HE;2;2/Msl, C5/3;4;1–3;4–6;7–9;1.5;2;20;102
ATM 6;Clan;C, M, S;Standard;4;2/Msl, C5/6;4;1–5;6–10;11–15;3.5;3;10;102
ATM 6;Clan;C, M, S;ER;4;2/Msl, C5/6;4;1–9;10–18;19–27;3.5;3;10;102
ATM 6;Clan;C, M, S;HE;4;2/Msl, C5/6;4;1–3;4–6;7–9;1.5;3.5;3;10;102
ATM 9;Clan;C, M, S;Standard;6;2/Msl, C5/9;4;1–5;6–10;11–15;5;4;7;102
ATM 9;Clan;C, M, S;ER;6;2/Msl, C5/9;4;1–9;10–18;19–27;5;4;7;102
ATM 9;Clan;C, M, S;HE;6;2/Msl, C5/9;4;1–3;4–6;7–9;5;4;7;102
ATM 12;Clan;C, M, S;Standard;8;2/Msl, C5/12;4;1–5;6–10;11–15;7;5;5;102
ATM 12;Clan;C, M, S;ER;8;2/Msl, C5/12;4;1–9;10–18;19–27;7;5;5;102
ATM 12;Clan;C, M, S;HE;8;2/Msl, C5/12;4;1–3;4–6;7–9;7;5;5;102
Narc Missile Beacon;Clan;M, S;;0;**;0;1–4;5–8;9–12;2;1;6;104
LRM 5;Clan;C, M, S;;2;1/Msl, C5/5;0;1–7;8–14;15–21;1;1;24;103
LRM 10;Clan;C, M, S;;4;1/Msl, C5/10;0;1–7;8–14;15–21;2.5;1;12;103
LRM 15;Clan;C, M, S;;5;1/Msl, C5/15;0;1–7;8–14;15–21;3.5;2;8;103
LRM 20;Clan;C, M, S;;6;1/Msl, C5/20;0;1–7;8–14;15–21;5;4;6;103
SRM 2;Clan;C, M, S;;2;2/Msl, C2/2;0;1–3;4–6;7–9;0.5;1;50;103
SRM 4;Clan;C, M, S;;3;2/Msl, C2/4;0;1–3;4–6;7–9;1;1;25;103
SRM 6;Clan;C, M, S;;4;2/Msl, C2/6;0;1–3;4–6;7–9;1.5;1;15;103
Streak SRM 2;Clan;C, M;;2;2/Msl, C2/2;0;1–4;5–8;9–12;1;1;50;104
Streak SRM 4;Clan;C, M;;3;2/Msl, C2/4;0;1–4;5–8;9–12;2;1;25;104
Streak SRM 6;Clan;C, M;;4;2/Msl, C2/6;0;1–4;5–8;9–12;3;2;15;104
Streak LRM 5;Clan;C, M;;2;1/Msl, C5/5;0;1–7;8–14;15–21;2;1;24;104
Streak LRM 10;Clan;C, M;;4;1/Msl, C5/10;0;1–7;8–14;15–21;5;2;12;104
Streak LRM 15;Clan;C, M;;5;1/Msl, C5/15;0;1–7;8–14;15–21;7;3;8;104
Streak LRM 20;Clan;C, M;;6;1/Msl, C5/20;0;1–7;8–14;15–21;10;5;6;104
Arrow IV;Clan;**;;10;20**;0;**;**;**;12;12;5;97
Active Probe;Clan;E;;0;—;—;—;—;5;1;1;—;109
Active Probe, Light;Clan;E;;0;—;—;—;—;3;0.5;1;—;110
Anti-Missile System;Clan;PB;;1;—;—;—;—;0.5;1;24;118;
Laser AMS;Clan;PB;;5;—;—;—;—;1;1;—;118;
ECM Suite;Clan;E;;0;—;—;—;—;6;1;1;—;112
Angel ECM Suite;Clan;E;;0;—;—;—;—;6;2;2;—;113
TAG;Clan;E;;0;—;0;1–5;6–9;10–15;1;1;—;113
Light TAG;Clan;E;;0;—;0;1–3;4–6;7–9;0.5;1;—;114
Watchdog CEWS;Clan;E;;0;—;—;—;—;3;1.5;2;—;114
